messages_author_id,threads_author_id
238251,3752474
141125,1379302
3591295,956042
3834014,3683547
4156664,1067359
581663,2341143
1870720,2156852
3805845,3494842
3803018,3714961
3560615,3556519
2215471,3352294
3460671,3449780
3842486,3799449
3971091,3846297
998980,3579693
3552488,3554675
3526900,1906017
1604886,3735837
1058952,894991
3835475,1104257
4054555,3596036
1585987,1598807
2040213,1129528
1520442,871546
3945025,3927214
3460671,3631242
531158,3557626
3551389,3555027
3693743,2106925
531158,501287
3198798,3557735
3475137,3740686
3756318,3513485
3819566,3589584
3693743,3614103
191415,532657
3615821,1031505
3501155,3588298
3760266,1944861
480528,2308890
2280266,3464601
4229062,3579514
3693743,3450734
3517834,3504706
1724369,454796
3702898,3606746
3786540,3757213
3241013,2184597
3486053,3801641
925697,3694275
3627940,3802952
552090,3582268
3462770,2583139
2434666,3599727
3693743,2901720
1195854,90731
3701694,3483856
131143,2489471
3857873,156953
3635547,3456319
592540,3890539
126336,331309
3822525,4049247
2551566,3606236
3862549,4025536
3774582,3717217
2012763,3449138
228006,2338
3371341,3493570
4146586,2266384
592540,3632335
3950543,3645217
3668457,3736668
3800453,4055652
3995781,3489733
3711762,3716988
4067623,3681206
3961387,3527834
2642754,601280
1406392,3615753
3776627,3817528
2449909,947454
3465181,3576036
3489468,3522602
2711777,3576346
3582301,3503271
727570,3920333
3593256,3463174
3931939,3797093
175443,1278544
3483110,3881723
3737342,3331789
547795,1763181
1004833,3448163
3016213,3655354
3693743,539346
3693743,3454406
3516430,3636914
3793880,3923767
3693743,3462068
3614986,3642697
3773951,770359
528421,904174
3296015,3615855
3824904,3977414
3503773,3600905
803063,1172610
871546,366924
3552996,3777374
3870637,3679235
3623999,3620646
3644260,3703938
785243,3488663
2648283,3682083
14995,3498040
3790835,3563817
3451828,3699511
3583737,3643276
3823759,3515275
861552,4009217
1390501,3637549
3625150,3918177
3614805,3489708
3502977,3227304
3480777,3387135
440117,2914681
3693743,3470991
3503773,3818632
3835480,3827586
1861467,847146
5420,838895
3486017,3552235
3765862,9151
3449118,3518633
1459934,3491544
3589245,161225
3986860,4175914
3634052,3821859
50850,3452967
3503773,1483508
1906017,707656
1773625,3452692
2146656,2294527
3489750,3631052
3684313,3647719
2912237,3986512
427380,1887233
3574119,1624797
3814637,3787817
3560615,3603073
1898039,3669903
4194858,4182817
3632453,3733883
3773951,4009367
1358257,50850
2308890,15525
340291,3752747
2939329,3870637
3589245,94755
3793714,4107459
1901371,3469692
3660226,3739520
3631088,3652401
3773951,3883620
27,1162380
3608619,3835697
400,3509951
3693743,3453192
3556032,4021855
3897776,197599
3833636,156953
279458,482170
3597514,3504437
1265256,3793670
1068167,2567098
3471889,3448413
3828874,3873515
3795241,3825703
1617446,2609347
207,193
2257910,634997
3693743,545574
3809129,3930389
614977,3570124
3515020,3671435
3860490,3782261
83766,3515235
3575560,3871951
3449278,1919967
3633841,3528902
5240,877441
3759042,3734575
3672122,3626173
3455395,3489462
3925766,3826966
3795943,3873380
3586503,3628217
3741479,3704263
3780586,2054548
2905009,3251026
3642251,4128564
3681868,3719558
3606344,3465593
460488,1108952
3768607,50850
3774582,3689129
3447510,2522810
620762,2027
3768607,2077363
547795,3456605
3978115,4083078
1058952,3494771
3810552,4045775
3511002,2081652
3586752,349605
2168192,2604026
2939329,3569242
3751580,3752482
4182582,1286
3470461,3470357
3500492,3561500
3468329,1189522
3819915,3684917
64050,4000720
3768607,3697965
2222794,308655
3837774,3672973
3616262,3629169
321811,1615674
3607984,3636161
2434666,3462043
3950252,4078283
769000,3609769
3635953,3509088
2266384,3886967
3608619,2248793
3805008,3782777
1529412,1167113
1659382,3447887
592540,3461533
872459,3917312
3954944,3944269
3658589,3459019
44034,165351
3560615,3454251
134535,293208
592540,1757346
3713327,3527923
727570,3718619
4054875,3748457
1068167,161407
3487693,4091129
3945021,972994
131143,3456459
2787041,3196507
1806379,4106237
3756559,2519149
3671412,3468603
3663576,3499858
3516430,3593541
163753,1500030
452406,345
3961387,3496658
785243,3478916
849172,10542
3526180,3785933
3637071,3905
3589245,94755
3475137,3469038
3723995,3723421
3604444,3917102
3450556,3518146
3557359,3528764
400311,724799
745314,3691518
3493107,3447453
3693743,3484027
3642145,3848495
703701,3494373
3597514,3489547
1128529,3028323
3522557,3704472
2317455,2257362
22282,386008
2128328,3498039
592540,3936545
3686603,3601068
3468183,3558997
143,3525119
59208,2013494
3524878,3525126
3508983,4032628
140062,3503958
3928897,881880
3664645,3638878
1265256,3582653
4058475,4086685
3763146,3752576
3581790,3824855
3655554,3854626
751647,3504437
3578629,3616416
3693743,3673118
4260261,548787
3621276,3800777
174808,743516
2071842,2516272
3994050,3844950
592540,3974125
3568082,3678654
3503773,3528621
3605949,3454444
592540,3471557
1666967,2210136
126336,1942463
3703967,3693868
1959463,3585329
3768607,2542695
3511002,3477317
3503773,3950173
4130357,3801643
130749,1532856
3616262,3524203
1415164,998509
2308890,4071080
3915087,3843029
3909347,3937759
3447781,3661524
3707808,3931286
3632134,3592894
191415,3529265
4202838,4120172
516485,4055400
134535,3448016
1740,374584
3795943,3894181
1748103,1051522
415453,3464985
4145866,3819762
